시군구,상가명,지번주소,건물명,건물유형,등록전유부수,실제영업중수,비고
종로구,치휴한방병원,서울특별시 종로구 연건동 39,대학로빌딩,일반,,,일반건축물(단일단위)
종로구,고향집,서울특별시 종로구 장사동 80, ,일반,,,일반건축물(단일단위)
종로구,청안,서울특별시 종로구 소격동 61, ,일반,,,일반건축물(단일단위)
종로구,수피아,서울특별시 종로구 종로3가 27, ,일반,,,일반건축물(단일단위)
종로구,광명피아노,서울특별시 종로구 낙원동 288, ,집합,1,140,불일치(등록<실제)
종로구,금술,서울특별시 종로구 종로4가 30, ,일반,,,일반건축물(단일단위)
종로구,동진산업,서울특별시 종로구 관수동 100, ,일반,,,일반건축물(단일단위)
종로구,천지의료기,서울특별시 종로구 종로3가 145-1,화암빌딩,일반,,,일반건축물(단일단위)
종로구,열두척,서울특별시 종로구 묘동 24-1, ,일반,,,일반건축물(단일단위)
종로구,현대전기,서울특별시 종로구 계동 117-1, ,일반,,,일반건축물(단일단위)
종로구,종로양행,서울특별시 종로구 안국동 104, ,일반,,,일반건축물(단일단위)
종로구,동화사,서울특별시 종로구 재동 84-39, ,일반,,,일반건축물(단일단위)
종로구,최가네곱창,서울특별시 종로구 종로3가 156-2, ,일반,,,일반건축물(단일단위)
종로구,쑥향떡집,서울특별시 종로구 연지동 188-3, ,일반,,,일반건축물(단일단위)
종로구,류화랑,서울특별시 종로구 관훈동 30-13, ,일반,,,일반건축물(단일단위)
종로구,담배집,서울특별시 종로구 돈의동 103-70, ,일반,,,일반건축물(단일단위)
종로구,에듀컴,서울특별시 종로구 와룡동 36-1, ,일반,,,일반건축물(단일단위)
종로구,태양의상수선,서울특별시 종로구 재동 84-16, ,일반,,,일반건축물(단일단위)
종로구,대성철물,서울특별시 종로구 묘동 22-3, ,일반,,,일반건축물(단일단위)
종로구,운석,서울특별시 종로구 봉익동 118-2,봉익동 빌딩,일반,,,일반건축물(단일단위)
종로구,도서마을,서울특별시 종로구 익선동 94-3, ,일반,,,일반건축물(단일단위)
종로구,자기사랑복원연구소,서울특별시 종로구 와룡동 143, ,일반,,,일반건축물(단일단위)
종로구,반반2,서울특별시 종로구 돈의동 50, ,일반,,,일반건축물(단일단위)
종로구,보혁사,서울특별시 종로구 묘동 24-2, ,일반,,,일반건축물(단일단위)
종로구,빛갤러리,서울특별시 종로구 홍지동 127-2, ,일반,,,일반건축물(단일단위)
종로구,시온상사,서울특별시 종로구 관수동 130-1, ,일반,,,일반건축물(단일단위)
종로구,상록,서울특별시 종로구 낙원동 236-1, ,일반,,,일반건축물(단일단위)
종로구,대한공인중개사무소,서울특별시 종로구 장사동 224-8, ,일반,,,일반건축물(단일단위)
종로구,건영사,서울특별시 종로구 충신동 25-37,충신빌딩,일반,,,일반건축물(단일단위)
종로구,사동집,서울특별시 종로구 관훈동 29-18, ,일반,,,일반건축물(단일단위)
중구,진양상회,서울특별시 중구 남창동 50-57, ,일반,,,일반건축물(단일단위)
중구,중앙전자시스템,서울특별시 중구 산림동 207-2, ,집합,1,52,불일치(등록<실제)
중구,서정구세무사사무소,서울특별시 중구 수표동 47-6, ,일반,,,일반건축물(단일단위)
중구,법무사박성수사무소,서울특별시 중구 서소문동 26,경서빌딩,일반,,,일반건축물(단일단위)
중구,조은공인중개사사무소,서울특별시 중구 회현동3가 1-6, ,일반,,,일반건축물(단일단위)
중구,문화토탈사인,서울특별시 중구 황학동 2482, ,일반,,,일반건축물(단일단위)
중구,보림스탠드바,서울특별시 중구 을지로3가 296-1, ,일반,,,일반건축물(단일단위)
중구,토담,서울특별시 중구 필동1가 3-19, ,일반,,,일반건축물(단일단위)
중구,카리스,서울특별시 중구 신당동 217-95, ,집합,1,43,불일치(등록<실제)
중구,정관장신당점,서울특별시 중구 신당동 333-79,성원빌딩,일반,,,일반건축물(단일단위)
중구,을지로골뱅이,서울특별시 중구 신당동 368-59, ,일반,,,일반건축물(단일단위)
중구,오직건강원,서울특별시 중구 신당동 133-29, ,일반,,,일반건축물(단일단위)
중구,정동집,서울특별시 중구 정동 11-4, ,일반,,,일반건축물(단일단위)
중구,대광조명,서울특별시 중구 을지로4가 187-7, ,일반,,,일반건축물(단일단위)
중구,젬포스,서울특별시 중구 남창동 33-1, ,일반,,,일반건축물(단일단위)
중구,터보모터스,서울특별시 중구 충무로5가 20-26, ,일반,,,일반건축물(단일단위)
중구,씨엠,서울특별시 중구 을지로6가 17-18, ,집합,1,10,불일치(등록<실제)
중구,아이템뱅크,서울특별시 중구 충무로3가 49,엘크루 메트로시티,집합,1,56,불일치(등록<실제)
중구,드림컴정보통신,서울특별시 중구 남대문로5가 21-1, ,일반,,,일반건축물(단일단위)
중구,폴랩,서울특별시 중구 인현동1가 66,프린트시티인쇄센타,일반,,,일반건축물(단일단위)
중구,신신공사,서울특별시 중구 신당동 250-17, ,일반,,,일반건축물(단일단위)
중구,미뇽헤어,서울특별시 중구 서소문동 120-14, ,일반,,,일반건축물(단일단위)
중구,마카오Ⅰ,서울특별시 중구 을지로1가 37,서광빌딩,일반,,,일반건축물(단일단위)
중구,두리종합주방,서울특별시 중구 흥인동 10, ,일반,,,일반건축물(단일단위)
중구,대영자동차서비스,서울특별시 중구 중림동 473, ,일반,,,일반건축물(단일단위)
중구,세무사김인기사무소,서울특별시 중구 신당동 102-6, ,일반,,,일반건축물(단일단위)
중구,한솔기업,서울특별시 중구 을지로3가 334-10, ,일반,,,일반건축물(단일단위)
중구,신명인쇄,서울특별시 중구 인현동2가 135-32, ,일반,,,일반건축물(단일단위)
중구,아트아크릴,서울특별시 중구 예관동 37-2, ,일반,,,일반건축물(단일단위)
중구,정병철임대,서울특별시 중구 저동2가 78,비즈센터,집합,1,73,불일치(등록<실제)
중구,신의주부대찌개,서울특별시 중구 북창동 14-5, ,일반,,,일반건축물(단일단위)
중구,취홍,서울특별시 중구 순화동 66,순화타워,일반,,,일반건축물(단일단위)
중구,동원민물장어,서울특별시 중구 북창동 75, ,일반,,,일반건축물(단일단위)
중구,서울퍼니테리어,서울특별시 중구 서소문동 37,제1동,일반,,,일반건축물(단일단위)
중구,공간,서울특별시 중구 을지로5가 35-6,을지로4구역 지하도상가,집합,1,38,불일치(등록<실제)
용산구,으뜸공인중개사사무소,서울특별시 용산구 갈월동 58-8, ,일반,,,일반건축물(단일단위)
용산구,회사랑,서울특별시 용산구 이촌동 301-53, ,집합,1,34,불일치(등록<실제)
용산구,GS25한남,서울특별시 용산구 한남동 639-1, ,일반,,,일반건축물(단일단위)
용산구,라인건축사사무소,서울특별시 용산구 후암동 244-32, ,일반,,,일반건축물(단일단위)
용산구,눈높이안경,서울특별시 용산구 서계동 267-56, ,일반,,,일반건축물(단일단위)
용산구,델리카,서울특별시 용산구 이태원동 579, ,일반,,,일반건축물(단일단위)
용산구,시온게스트하우스,서울특별시 용산구 한남동 729-10, ,일반,,,일반건축물(단일단위)
용산구,디저트카페스테이,서울특별시 용산구 남영동 35-2, ,일반,,,일반건축물(단일단위)
용산구,델리베이커리,서울특별시 용산구 갈월동 56-3, ,일반,,,일반건축물(단일단위)
용산구,노팅힐,서울특별시 용산구 이태원동 96-125, ,일반,,,일반건축물(단일단위)
용산구,로데오노래연습장,서울특별시 용산구 한남동 634-1, ,일반,,,일반건축물(단일단위)
용산구,비지닷컴,서울특별시 용산구 원효로2가 3-6, ,일반,,,일반건축물(단일단위)
용산구,디어비,서울특별시 용산구 한남동 26-10,TWIN VILL,집합,1,3,불일치(등록<실제)
용산구,갤러리비원,서울특별시 용산구 이태원동 239-4,가야랑 Gayarang,일반,,,일반건축물(단일단위)
용산구,우쿠야한남점,서울특별시 용산구 한남동 644-5, ,일반,,,일반건축물(단일단위)
용산구,갤러리가비,서울특별시 용산구 한강로1가 221-5, ,일반,,,일반건축물(단일단위)
용산구,힐링젠스파,서울특별시 용산구 효창동 5-527, ,일반,,,일반건축물(단일단위)
용산구,참숯집,서울특별시 용산구 원효로1가 43-30, ,일반,,,일반건축물(단일단위)
용산구,씨에스메이커스,서울특별시 용산구 한강로1가 292-1, ,일반,,,일반건축물(단일단위)
용산구,스트링띠어리,서울특별시 용산구 이태원동 255-27, ,일반,,,일반건축물(단일단위)
용산구,드림네트웍스,서울특별시 용산구 한강로3가 40-999,에이치디씨아이파크몰(본점),집합,1,240,불일치(등록<실제)
용산구,윤아트,서울특별시 용산구 동빙고동 198, ,일반,,,일반건축물(단일단위)
용산구,행운,서울특별시 용산구 원효로3가 37-2,재용빌딩,일반,,,일반건축물(단일단위)
용산구,라보떼뷰티,서울특별시 용산구 남영동 114-13, ,집합,1,1,
용산구,문화카페산장,서울특별시 용산구 갈월동 93-25, ,일반,,,일반건축물(단일단위)
용산구,이안공인중개사사무소,서울특별시 용산구 산천동 183-1, ,일반,,,일반건축물(단일단위)
용산구,몽떼,서울특별시 용산구 원효로1가 43-19, ,일반,,,일반건축물(단일단위)
용산구,솔향기,서울특별시 용산구 원효로2가 73-10, ,일반,,,일반건축물(단일단위)
용산구,보신＆준,서울특별시 용산구 용문동 38-60,에벤에셀,집합,1,1,
용산구,서울아트프로젝트,서울특별시 용산구 이태원동 260-155, ,일반,,,일반건축물(단일단위)
용산구,한남주방,서울특별시 용산구 한남동 29-4, ,집합,1,4,불일치(등록<실제)
용산구,소소,서울특별시 용산구 용문동 32-74, ,일반,,,일반건축물(단일단위)
용산구,금나막스2,서울특별시 용산구 한강로2가 309-5, ,일반,,,일반건축물(단일단위)
용산구,히말라야아이즈,서울특별시 용산구 이태원동 63-4, ,일반,,,일반건축물(단일단위)
성동구,소망공인중개사사무소,서울특별시 성동구 용답동 4-11,1,일반,,,일반건축물(단일단위)
성동구,하나애드,서울특별시 성동구 성수동1가 13-164,서울숲IT밸리,집합,1,75,불일치(등록<실제)
성동구,비어오크,서울특별시 성동구 마장동 791-9,봉호빌딩,일반,,,일반건축물(단일단위)
성동구,남도집,서울특별시 성동구 도선동 83, ,일반,,,일반건축물(단일단위)
성동구,법무사이두석사무소,서울특별시 성동구 성수동1가 13-445, ,일반,,,일반건축물(단일단위)
성동구,짱텔레콤,서울특별시 성동구 용답동 57-13, ,일반,,,일반건축물(단일단위)
성동구,김종용누룽지통닭,서울특별시 성동구 행당동 19-46, ,일반,,,일반건축물(단일단위)
성동구,에스에이텍스타일,서울특별시 성동구 옥수동 323-17,옥수동 조을빌딩,일반,,,일반건축물(단일단위)
성동구,부동산랜드공인중개사사무소,서울특별시 성동구 송정동 73-420, ,일반,,,일반건축물(단일단위)
성동구,홍단,서울특별시 성동구 성수동2가 302-8,블루스톤타워,집합,1,35,불일치(등록<실제)
성동구,법무사원경희사무소,서울특별시 성동구 옥수동 220-1,한남하이츠아파트,집합,1,7,불일치(등록<실제)
성동구,단지내에이스공인중개사사무소,서울특별시 성동구 금호동2가 1,신금호파크자이,집합,1,19,불일치(등록<실제)
성동구,투워드,서울특별시 성동구 옥수동 100,옥수하이츠아파트,집합,1,12,불일치(등록<실제)
성동구,하나기획,서울특별시 성동구 용답동 236-5,삼호오피스텔,집합,1,16,불일치(등록<실제)
성동구,포스트디자인,서울특별시 성동구 성수동1가 13-207,서울숲AK밸리 지식산업센터,집합,1,84,불일치(등록<실제)
성동구,라미라우리옷,서울특별시 성동구 행당동 233-3, ,일반,,,일반건축물(단일단위)
성동구,피앤피세무회계컨설팅,서울특별시 성동구 송정동 66-196, ,일반,,,일반건축물(단일단위)
성동구,디자인누하,서울특별시 성동구 성수동1가 13-1, ,일반,,,일반건축물(단일단위)
성동구,파스텔드나따,서울특별시 성동구 성수동2가 279-50,성수1차대우아파트,집합,1,19,불일치(등록<실제)
성동구,더디지로그,서울특별시 성동구 성수동1가 656-334,서울숲 M타워,집합,1,51,불일치(등록<실제)
성동구,건강한약국,서울특별시 성동구 도선동 48,한일빌딩,일반,,,일반건축물(단일단위)
성동구,누아흐,서울특별시 성동구 성수동1가 13-117,뚝섬리버빌,집합,1,5,불일치(등록<실제)
성동구,임페리얼골프아카데미,서울특별시 성동구 행당동 147,서울숲삼부아파트,집합,0,14,불일치(등록<실제)
성동구,성수꼬마,서울특별시 성동구 성수동1가 36-7, ,일반,,,일반건축물(단일단위)
성동구,티비디,서울특별시 성동구 성수동1가 16-22, ,일반,,,일반건축물(단일단위)
성동구,한국성과코칭협회,서울특별시 성동구 성수동2가 315-61,성수역 SK V1 tower,집합,1,124,불일치(등록<실제)
성동구,한국석면환경협회,서울특별시 성동구 성수동2가 284-9, ,일반,,,일반건축물(단일단위)
성동구,서울그린트러스트재,서울특별시 성동구 성수동1가 685-217, ,일반,,,일반건축물(단일단위)
성동구,숲생태지도자협회,서울특별시 성동구 성수동1가 656-564, ,일반,,,일반건축물(단일단위)
성동구,한국공공디자인지역지원재단,서울특별시 성동구 행당동 17,한양대학교,일반,,,일반건축물(단일단위)
성동구,에코파티메아리,서울특별시 성동구 성수동2가 280-22, ,일반,,,일반건축물(단일단위)
성동구,한류국제문화교류협회,서울특별시 성동구 행당동 347,주차장((74동),집합,1,28,불일치(등록<실제)
성동구,루트임팩트,서울특별시 성동구 성수동1가 22-8, ,일반,,,일반건축물(단일단위)
성동구,하나패스주,서울특별시 성동구 성수동1가 656-766,개풍빌딩,일반,,,일반건축물(단일단위)
성동구,코코스트레블,서울특별시 성동구 용답동 235-8, ,집합,1,9,불일치(등록<실제)
성동구,아이비즈투어,서울특별시 성동구 도선동 58-1,세신빌딩,일반,,,일반건축물(단일단위)
광진구,프레쉬과일,서울특별시 광진구 중곡동 41-37, ,일반,,,일반건축물(단일단위)
광진구,하이크린,서울특별시 광진구 구의동 225-41, ,일반,,,일반건축물(단일단위)
광진구,썸씽,서울특별시 광진구 중곡동 79-13, ,일반,,,일반건축물(단일단위)
광진구,２H상사,서울특별시 광진구 중곡동 253-31, ,일반,,,일반건축물(단일단위)
광진구,M.nail,서울특별시 광진구 구의동 631-1,현대프라임아파트,일반,,,일반건축물(단일단위)
광진구,원우ENG,서울특별시 광진구 자양동 547-38, ,일반,,,일반건축물(단일단위)
광진구,박사공인중개사,서울특별시 광진구 화양동 119-4, ,일반,,,일반건축물(단일단위)
광진구,세인택스비젼,서울특별시 광진구 중곡동 119-11,고씨중앙종문회 빌딩,일반,,,일반건축물(단일단위)
광진구,명인건축사사무소,서울특별시 광진구 구의동 252-14,성지하이츠,집합,1,36,불일치(등록<실제)
광진구,씨유건대화양점,서울특별시 광진구 화양동 6-2,연한빌딩,집합,1,20,불일치(등록<실제)
광진구,법무사문병식사무소,서울특별시 광진구 군자동 358-9,광진 동양파라곤 2단지,집합,1,45,불일치(등록<실제)
광진구,놀부부대찌개스타시티점,서울특별시 광진구 자양동 227-7,더샵스타시티,집합,1,41,불일치(등록<실제)
광진구,신백구약국,서울특별시 광진구 군자동 363-1, ,일반,,,일반건축물(단일단위)
광진구,삼성부동산공인중개사사무소,서울특별시 광진구 군자동 361-32, ,일반,,,일반건축물(단일단위)
광진구,라운지47,서울특별시 광진구 화양동 47-18, ,일반,,,일반건축물(단일단위)
광진구,시마모텔,서울특별시 광진구 자양동 10-6, ,일반,,,일반건축물(단일단위)
광진구,뺑드램,서울특별시 광진구 자양동 609-6, ,일반,,,일반건축물(단일단위)
광진구,탑공인중개사사무소,서울특별시 광진구 구의동 221-31, ,일반,,,일반건축물(단일단위)
광진구,92도,서울특별시 광진구 능동 221-13, ,집합,1,1,
광진구,대원기숙원,서울특별시 광진구 중곡동 20-2, ,일반,,,일반건축물(단일단위)
광진구,편안탑항공,서울특별시 광진구 화양동 499-1, ,일반,,,일반건축물(단일단위)
